,comparision,students_per_group,attempts_per_student,groupA,groupB,total_attemps,query,time
26,vsmall,50,20,control,interventionA,2000000,"group == ['control', 'interventionA'] and pint < 50 and i < 20",1626429546224.973
27,vsmall,75,5,control,interventionA,750000,"group == ['control', 'interventionA'] and pint < 75 and i < 5",1626429589185.8809
28,vsmall,75,10,control,interventionA,1500000,"group == ['control', 'interventionA'] and pint < 75 and i < 10",1626429637087.0325
29,vsmall,75,20,control,interventionA,3000000,"group == ['control', 'interventionA'] and pint < 75 and i < 20",1626429700594.593
30,vsmall,100,5,control,interventionA,1000000,"group == ['control', 'interventionA'] and pint < 100 and i < 5",1626429753406.463
31,vsmall,100,10,control,interventionA,2000000,"group == ['control', 'interventionA'] and pint < 100 and i < 10",1626429812775.968
32,vsmall,100,20,control,interventionA,4000000,"group == ['control', 'interventionA'] and pint < 100 and i < 20",1626429893354.6929
33,vsmall,200,5,control,interventionA,2000000,"group == ['control', 'interventionA'] and pint < 200 and i < 5",1626429983604.2263
34,vsmall,200,10,control,interventionA,4000000,"group == ['control', 'interventionA'] and pint < 200 and i < 10",1626430090562.6143
35,vsmall,200,20,control,interventionA,8000000,"group == ['control', 'interventionA'] and pint < 200 and i < 20",1626430239770.7993
36,small,20,5,control,interventionB,200000,"group == ['control', 'interventionB'] and pint < 20 and i < 5",1626430259801.5076
37,small,20,10,control,interventionB,400000,"group == ['control', 'interventionB'] and pint < 20 and i < 10",1626430281285.4646
38,small,20,20,control,interventionB,800000,"group == ['control', 'interventionB'] and pint < 20 and i < 20",1626430307571.547
39,small,30,5,control,interventionB,300000,"group == ['control', 'interventionB'] and pint < 30 and i < 5",1626430331139.7944
40,small,30,10,control,interventionB,600000,"group == ['control', 'interventionB'] and pint < 30 and i < 10",1626430357676.5923
41,small,30,20,control,interventionB,1200000,"group == ['control', 'interventionB'] and pint < 30 and i < 20",1626430389676.5837
42,small,50,5,control,interventionB,500000,"group == ['control', 'interventionB'] and pint < 50 and i < 5",1626430421362.3044
43,small,50,10,control,interventionB,1000000,"group == ['control', 'interventionB'] and pint < 50 and i < 10",1626430458175.9314
44,small,50,20,control,interventionB,2000000,"group == ['control', 'interventionB'] and pint < 50 and i < 20",1626430504279.0386
45,small,75,5,control,interventionB,750000,"group == ['control', 'interventionB'] and pint < 75 and i < 5",1626430547539.704
46,small,75,10,control,interventionB,1500000,"group == ['control', 'interventionB'] and pint < 75 and i < 10",1626430595425.8433
47,small,75,20,control,interventionB,3000000,"group == ['control', 'interventionB'] and pint < 75 and i < 20",1626430659091.038
48,small,100,5,control,interventionB,1000000,"group == ['control', 'interventionB'] and pint < 100 and i < 5",1626430712271.7256
49,small,100,10,control,interventionB,2000000,"group == ['control', 'interventionB'] and pint < 100 and i < 10",1626430771808.3735
50,small,100,20,control,interventionB,4000000,"group == ['control', 'interventionB'] and pint < 100 and i < 20",1626430852703.3706
51,small,200,5,control,interventionB,2000000,"group == ['control', 'interventionB'] and pint < 200 and i < 5",1626430942837.805
52,small,200,10,control,interventionB,4000000,"group == ['control', 'interventionB'] and pint < 200 and i < 10",1626431050630.41
53,small,200,20,control,interventionB,8000000,"group == ['control', 'interventionB'] and pint < 200 and i < 20",1626431199428.7427
54,big,20,5,control,interventionC,200000,"group == ['control', 'interventionC'] and pint < 20 and i < 5",1626431219019.5732
55,big,20,10,control,interventionC,400000,"group == ['control', 'interventionC'] and pint < 20 and i < 10",1626431240481.0107
56,big,20,20,control,interventionC,800000,"group == ['control', 'interventionC'] and pint < 20 and i < 20",1626431266783.6074
57,big,30,5,control,interventionC,300000,"group == ['control', 'interventionC'] and pint < 30 and i < 5",1626431290457.946
58,big,30,10,control,interventionC,600000,"group == ['control', 'interventionC'] and pint < 30 and i < 10",1626431316993.7432
59,big,30,20,control,interventionC,1200000,"group == ['control', 'interventionC'] and pint < 30 and i < 20",1626431348926.6768
60,big,50,5,control,interventionC,500000,"group == ['control', 'interventionC'] and pint < 50 and i < 5",1626431380815.072
61,big,50,10,control,interventionC,1000000,"group == ['control', 'interventionC'] and pint < 50 and i < 10",1626431417812.857
62,big,50,20,control,interventionC,2000000,"group == ['control', 'interventionC'] and pint < 50 and i < 20",1626431464194.2031
63,big,75,5,control,interventionC,750000,"group == ['control', 'interventionC'] and pint < 75 and i < 5",1626431507243.1868
64,big,75,10,control,interventionC,1500000,"group == ['control', 'interventionC'] and pint < 75 and i < 10",1626431555013.7268
65,big,75,20,control,interventionC,3000000,"group == ['control', 'interventionC'] and pint < 75 and i < 20",1626431618809.5332
66,big,100,5,control,interventionC,1000000,"group == ['control', 'interventionC'] and pint < 100 and i < 5",1626431672049.772
67,big,100,10,control,interventionC,2000000,"group == ['control', 'interventionC'] and pint < 100 and i < 10",1626431731595.4285
68,big,100,20,control,interventionC,4000000,"group == ['control', 'interventionC'] and pint < 100 and i < 20",1626431812542.9702
69,big,200,5,control,interventionC,2000000,"group == ['control', 'interventionC'] and pint < 200 and i < 5",1626431902846.0496
70,big,200,10,control,interventionC,4000000,"group == ['control', 'interventionC'] and pint < 200 and i < 10",1626432009768.407
71,big,200,20,control,interventionC,8000000,"group == ['control', 'interventionC'] and pint < 200 and i < 20",1626432157869.1401
72,huge,20,5,control,interventionD,200000,"group == ['control', 'interventionD'] and pint < 20 and i < 5",1626432177332.3613
73,huge,20,10,control,interventionD,400000,"group == ['control', 'interventionD'] and pint < 20 and i < 10",1626432198796.8013
74,huge,20,20,control,interventionD,800000,"group == ['control', 'interventionD'] and pint < 20 and i < 20",1626432225118.414
75,huge,30,5,control,interventionD,300000,"group == ['control', 'interventionD'] and pint < 30 and i < 5",1626432248659.6387
76,huge,30,10,control,interventionD,600000,"group == ['control', 'interventionD'] and pint < 30 and i < 10",1626432275109.8618
77,huge,30,20,control,interventionD,1200000,"group == ['control', 'interventionD'] and pint < 30 and i < 20",1626432307069.3184
78,huge,50,5,control,interventionD,500000,"group == ['control', 'interventionD'] and pint < 50 and i < 5",1626432338791.0708
79,huge,50,10,control,interventionD,1000000,"group == ['control', 'interventionD'] and pint < 50 and i < 10",1626432375782.35
80,huge,50,20,control,interventionD,2000000,"group == ['control', 'interventionD'] and pint < 50 and i < 20",1626432422113.1526
81,huge,75,5,control,interventionD,750000,"group == ['control', 'interventionD'] and pint < 75 and i < 5",1626432465317.2695
82,huge,75,10,control,interventionD,1500000,"group == ['control', 'interventionD'] and pint < 75 and i < 10",1626432513034.2634
83,huge,75,20,control,interventionD,3000000,"group == ['control', 'interventionD'] and pint < 75 and i < 20",1626432576856.593
84,huge,100,5,control,interventionD,1000000,"group == ['control', 'interventionD'] and pint < 100 and i < 5",1626432629936.1936
85,huge,100,10,control,interventionD,2000000,"group == ['control', 'interventionD'] and pint < 100 and i < 10",1626432689582.9363
86,huge,100,20,control,interventionD,4000000,"group == ['control', 'interventionD'] and pint < 100 and i < 20",1626432770513.964
87,huge,200,5,control,interventionD,2000000,"group == ['control', 'interventionD'] and pint < 200 and i < 5",1626432860698.9421
88,huge,200,10,control,interventionD,4000000,"group == ['control', 'interventionD'] and pint < 200 and i < 10",1626432967300.0234
89,huge,200,20,control,interventionD,8000000,"group == ['control', 'interventionD'] and pint < 200 and i < 20",1626433116411.125
90,upper,20,5,interventionC,interventionD,200000,"group == ['interventionC', 'interventionD'] and pint < 20 and i < 5",1626433135942.4043
91,upper,20,10,interventionC,interventionD,400000,"group == ['interventionC', 'interventionD'] and pint < 20 and i < 10",1626433157284.7397
92,upper,20,20,interventionC,interventionD,800000,"group == ['interventionC', 'interventionD'] and pint < 20 and i < 20",1626433183516.7754
93,upper,30,5,interventionC,interventionD,300000,"group == ['interventionC', 'interventionD'] and pint < 30 and i < 5",1626433206973.9277
94,upper,30,10,interventionC,interventionD,600000,"group == ['interventionC', 'interventionD'] and pint < 30 and i < 10",1626433233448.1719
95,upper,30,20,interventionC,interventionD,1200000,"group == ['interventionC', 'interventionD'] and pint < 30 and i < 20",1626433265396.6191
96,upper,50,5,interventionC,interventionD,500000,"group == ['interventionC', 'interventionD'] and pint < 50 and i < 5",1626433297048.811
97,upper,50,10,interventionC,interventionD,1000000,"group == ['interventionC', 'interventionD'] and pint < 50 and i < 10",1626433334028.0803
98,upper,50,20,interventionC,interventionD,2000000,"group == ['interventionC', 'interventionD'] and pint < 50 and i < 20",1626433380463.9734
99,upper,75,5,interventionC,interventionD,750000,"group == ['interventionC', 'interventionD'] and pint < 75 and i < 5",1626433423408.8674
100,upper,75,10,interventionC,interventionD,1500000,"group == ['interventionC', 'interventionD'] and pint < 75 and i < 10",1626433471321.0288
101,upper,75,20,interventionC,interventionD,3000000,"group == ['interventionC', 'interventionD'] and pint < 75 and i < 20",1626433534844.602
102,upper,100,5,interventionC,interventionD,1000000,"group == ['interventionC', 'interventionD'] and pint < 100 and i < 5",1626433587854.6426
103,upper,100,10,interventionC,interventionD,2000000,"group == ['interventionC', 'interventionD'] and pint < 100 and i < 10",1626433647488.3743
104,upper,100,20,interventionC,interventionD,4000000,"group == ['interventionC', 'interventionD'] and pint < 100 and i < 20",1626433728504.4753
105,upper,200,5,interventionC,interventionD,2000000,"group == ['interventionC', 'interventionD'] and pint < 200 and i < 5",1626433818318.6348
106,upper,200,10,interventionC,interventionD,4000000,"group == ['interventionC', 'interventionD'] and pint < 200 and i < 10",1626433925173.434
107,upper,200,20,interventionC,interventionD,8000000,"group == ['interventionC', 'interventionD'] and pint < 200 and i < 20",1626434075630.692
